experiment,step,n_runs,modal_status,status_agreement,modal_confidence,confidence_agreement,status_counts,confidence_counts
real_grok46_50,safety_overview,50,completed,1.0,high,0.96,{'completed': 50},"{'high': 48, 'medium': 2}"
real_grok46_50,basal_targets,50,partial,0.86,medium,1.0,"{'partial': 43, 'completed': 7}",{'medium': 50}
real_grok46_50,profile_cr_isf_dia,50,partial,1.0,low,0.92,{'partial': 50},"{'low': 46, 'medium': 4}"
real_grok46_50,automation_smb_uam,50,completed,0.96,medium,1.0,"{'completed': 48, 'partial': 2}",{'medium': 50}
real_grok46_50,automation_sensitivity_limits,50,completed,0.94,medium,0.96,"{'completed': 47, 'partial': 3}","{'medium': 48, 'high': 2}"
real_grok46_50,meal_bolus_strategy,50,partial,0.94,low,0.92,"{'completed': 3, 'partial': 47}","{'medium': 4, 'low': 46}"
real_grok46_50,meal_ecarbs_absorption,50,completed,0.64,high,0.62,"{'blocked': 2, 'completed': 32, 'partial': 16}","{'low': 19, 'high': 31}"
real_grok46_50,synthesis_plan,50,completed,1.0,medium,1.0,{'completed': 50},{'medium': 50}
real_haiku45_50,data_quality,20,completed,1.0,high,1.0,{'completed': 20},{'high': 20}
real_haiku45_50,safety_overview,20,completed,1.0,high,0.95,{'completed': 20},"{'high': 19, 'medium-high': 1}"
real_haiku45_50,basal_targets,20,completed,1.0,high,0.4,{'completed': 20},"{'high_overnight_medium_afternoon': 1, 'medium': 6, 'medium-high': 4, 'high': 8, 'medium_high': 1}"
real_haiku45_50,profile_cr_isf_dia,20,completed,1.0,medium,0.75,{'completed': 20},"{'low_isf_medium_cr_dia': 1, 'medium-high': 1, 'medium': 15, 'medium-low': 1, 'high for DIA; medium for ISF; low for CR': 1, 'low': 1}"
real_haiku45_50,automation_smb_uam,20,completed,1.0,high,0.75,{'completed': 20},"{'high': 15, 'medium-high': 3, 'medium_high': 1, 'medium': 1}"
real_haiku45_50,automation_sensitivity_limits,20,completed,1.0,medium,0.5,{'completed': 20},"{'medium': 10, 'medium-high': 2, 'high': 7, 'medium_high': 1}"
real_haiku45_50,meal_bolus_strategy,20,completed,1.0,medium,0.55,{'completed': 20},"{'low': 3, 'low-medium': 3, 'medium': 11, 'high': 2, 'medium-high': 1}"
real_haiku45_50,meal_ecarbs_absorption,20,completed,1.0,medium,0.4,{'completed': 20},"{'very_low': 1, 'low': 6, 'high': 4, 'medium': 8, 'high for absence; low for strategy if needed': 1}"
real_haiku45_50,synthesis_plan,20,completed,1.0,medium,0.45,{'completed': 20},"{'medium': 9, 'medium-high': 3, 'high': 7, 'high for primary action; medium for secondary confirmations': 1}"
real_llama4maverick_50,data_quality,44,completed,1.0,high,1.0,{'completed': 44},{'high': 44}
real_llama4maverick_50,safety_overview,44,completed,1.0,medium,0.864,{'completed': 44},"{'high': 6, 'medium': 38}"
real_llama4maverick_50,basal_targets,44,completed,0.977,medium,0.977,"{'completed': 43, 'partial': 1}","{'medium': 43, 'low': 1}"
real_llama4maverick_50,profile_cr_isf_dia,44,completed,0.955,medium,1.0,"{'completed': 42, 'partial': 2}",{'medium': 44}
real_llama4maverick_50,automation_smb_uam,44,completed,1.0,medium,0.5,{'completed': 44},"{'high': 6, 'medium': 22, 'low': 15, 'low to medium': 1}"
real_llama4maverick_50,automation_sensitivity_limits,44,completed,1.0,medium,0.909,{'completed': 44},"{'high': 4, 'medium': 40}"
real_llama4maverick_50,meal_bolus_strategy,44,completed,0.977,low,0.818,"{'completed': 43, 'partial': 1}","{'medium': 5, 'low': 36, 'high': 3}"
real_llama4maverick_50,meal_ecarbs_absorption,44,completed,0.977,low,0.841,"{'completed': 43, 'partial': 1}","{'medium': 3, 'low': 37, 'high': 4}"
real_llama4maverick_50,synthesis_plan,44,completed,1.0,medium,0.955,{'completed': 44},"{'medium': 42, 'high': 1, 'low': 1}"
real_opus5,data_quality,11,completed,1.0,high,1.0,{'completed': 11},{'high': 11}
real_opus5,safety_overview,11,completed,1.0,high,0.545,{'completed': 11},"{'medium': 5, 'high': 6}"
real_opus5,basal_targets,11,partial,1.0,medium,0.545,{'partial': 11},"{'medium': 6, 'low': 5}"
real_opus5,profile_cr_isf_dia,11,partial,1.0,low,1.0,{'partial': 11},{'low': 11}
real_opus5,automation_smb_uam,11,completed,1.0,medium,1.0,{'completed': 11},{'medium': 11}
real_opus5,automation_sensitivity_limits,11,completed,0.818,medium,1.0,"{'completed': 9, 'partial': 2}",{'medium': 11}
real_opus5,meal_bolus_strategy,11,partial,1.0,low,1.0,{'partial': 11},{'low': 11}
real_opus5,meal_ecarbs_absorption,11,blocked,1.0,low,1.0,{'blocked': 11},{'low': 11}
real_opus5,synthesis_plan,11,completed,1.0,medium,1.0,{'completed': 11},{'medium': 11}
real_sonnet5_20,data_quality,19,completed,0.947,medium,0.526,"{'completed': 18, 'partial': 1}","{'medium': 10, 'high': 9}"
real_sonnet5_20,safety_overview,19,completed,1.0,medium,0.684,{'completed': 19},"{'medium': 13, 'high': 6}"
real_sonnet5_20,basal_targets,19,completed,0.526,medium,0.842,"{'completed': 10, 'partial': 9}","{'medium': 16, 'low': 2, 'low-medium': 1}"
real_sonnet5_20,profile_cr_isf_dia,19,partial,0.895,low,0.789,"{'partial': 17, 'completed': 2}","{'low': 15, 'medium': 3, 'low-medium': 1}"
real_sonnet5_20,automation_smb_uam,19,completed,0.947,medium,1.0,"{'completed': 18, 'partial': 1}",{'medium': 19}
real_sonnet5_20,automation_sensitivity_limits,19,completed,0.947,medium,0.842,"{'completed': 18, 'partial': 1}","{'medium': 16, 'low-medium': 1, 'low': 2}"
real_sonnet5_20,meal_bolus_strategy,19,partial,0.947,low,0.842,"{'partial': 18, 'completed': 1}","{'low': 16, 'low-medium': 2, 'medium': 1}"
real_sonnet5_20,meal_ecarbs_absorption,19,blocked,1.0,low,1.0,{'blocked': 19},{'low': 19}
real_sonnet5_20,synthesis_plan,19,completed,1.0,medium,0.684,{'completed': 19},"{'medium': 13, 'low': 4, 'low-medium': 2}"
