parameter_key,n_models,models_modal_change,models_modal_keep,models_modal_verify,modal_agreement_across_models,change_rate_min,change_rate_max,change_rate_by_model
profile.cr.16_00,11,0,11,0,1.0,0.0,0.0,"{""real_deepseek_v4pro_50"": 0.0, ""real_gemini31pro_50"": 0.0, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.0, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.0, ""real_llama4maverick_50"": 0.0, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.0}"
profile.cr.20_00,11,0,11,0,1.0,0.0,0.0,"{""real_deepseek_v4pro_50"": 0.0, ""real_gemini31pro_50"": 0.0, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.0, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.0, ""real_llama4maverick_50"": 0.0, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.0}"
profile.isf.00_00,11,0,11,0,1.0,0.0,0.417,"{""real_deepseek_v4pro_50"": 0.417, ""real_gemini31pro_50"": 0.0, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.0, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.1, ""real_llama4maverick_50"": 0.091, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.0}"
profile.target.00_00,11,2,9,0,0.818,0.0,0.9,"{""real_deepseek_v4pro_50"": 0.021, ""real_gemini31pro_50"": 0.9, ""real_gemini35flashlite_50"": 0.026, ""real_gemini36flash_50"": 0.78, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.36, ""real_grok46_50"": 0.2, ""real_haiku45_50"": 0.0, ""real_llama4maverick_50"": 0.0, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.0}"
profile.target.08_00,11,0,11,0,1.0,0.0,0.02,"{""real_deepseek_v4pro_50"": 0.0, ""real_gemini31pro_50"": 0.02, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.0, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.0, ""real_llama4maverick_50"": 0.0, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.0}"
profile.target.23_00,11,2,9,0,0.818,0.0,0.9,"{""real_deepseek_v4pro_50"": 0.021, ""real_gemini31pro_50"": 0.9, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.78, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.04, ""real_grok46_50"": 0.12, ""real_haiku45_50"": 0.0, ""real_llama4maverick_50"": 0.0, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.0}"
profile.dia,11,0,11,0,1.0,0.0,0.167,"{""real_deepseek_v4pro_50"": 0.167, ""real_gemini31pro_50"": 0.0, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.0, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.05, ""real_llama4maverick_50"": 0.0, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.0}"
aaps.core.smb_uam,11,0,11,0,1.0,0.0,0.021,"{""real_deepseek_v4pro_50"": 0.021, ""real_gemini31pro_50"": 0.0, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.0, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.0, ""real_llama4maverick_50"": 0.0, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.0}"
aaps.core.smb_activation,11,0,11,0,1.0,0.0,0.042,"{""real_deepseek_v4pro_50"": 0.042, ""real_gemini31pro_50"": 0.0, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.0, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.0, ""real_llama4maverick_50"": 0.0, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.0}"
aaps.core.smb_delivery,11,0,11,0,1.0,0.0,0.364,"{""real_deepseek_v4pro_50"": 0.104, ""real_gemini31pro_50"": 0.06, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.08, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.0, ""real_llama4maverick_50"": 0.0, ""real_opus5"": 0.364, ""real_sonnet5_20"": 0.0}"
aaps.core.safety_limits,11,4,7,0,0.636,0.0,0.98,"{""real_deepseek_v4pro_50"": 0.438, ""real_gemini31pro_50"": 0.92, ""real_gemini35flashlite_50"": 0.128, ""real_gemini36flash_50"": 0.98, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.05, ""real_llama4maverick_50"": 0.568, ""real_opus5"": 0.909, ""real_sonnet5_20"": 0.0}"
aaps.core.sensitivity,11,0,11,0,1.0,0.0,0.26,"{""real_deepseek_v4pro_50"": 0.188, ""real_gemini31pro_50"": 0.0, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.26, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.0, ""real_llama4maverick_50"": 0.0, ""real_opus5"": 0.182, ""real_sonnet5_20"": 0.0}"
aaps.core.carb_absorption,11,0,11,0,1.0,0.0,0.1,"{""real_deepseek_v4pro_50"": 0.062, ""real_gemini31pro_50"": 0.0, ""real_gemini35flashlite_50"": 0.0, ""real_gemini36flash_50"": 0.02, ""real_gpt54mini_med_50"": 0.0, ""real_gpt56sol_med_50"": 0.0, ""real_grok46_50"": 0.0, ""real_haiku45_50"": 0.1, ""real_llama4maverick_50"": 0.0, ""real_opus5"": 0.0, ""real_sonnet5_20"": 0.0}"
