experiment,run_id,rank,area,title,priority,suggested_change
real_llama4maverick_50,run_034,1,basal,Adjust basal rates,high,"""{\""profile.basal.00_00\"": \""0.55 U/h\""}"""
real_llama4maverick_50,run_034,2,aaps,Verify max IOB limits,medium,"""{\""aaps.core.safety_limits.max_iob_units\"": \""20 U\""}"""
real_llama4maverick_50,run_035,1,basal,Verify basal rates,medium,"""{\""profile.basal.00_00\"": 0.65}"""
real_llama4maverick_50,run_036,1,AAPS,Adjust max IOB,high,"""{\""max_iob_units\"": 15}"""
real_llama4maverick_50,run_036,2,Meal Strategy,Declare meal bolus strategy,medium,"""{\""prebolus_minutes\"": 15, \""immediate_bolus_percent\"": 50}"""
real_llama4maverick_50,run_037,1,AAPS safety limits,Adjust max IOB limit,high,"""{\""max_iob_units\"": 15}"""
real_llama4maverick_50,run_038,1,basal,Review basal rates,medium,"""{\""profile.basal.00_00\"": 0.65}"""
real_llama4maverick_50,run_039,1,basal,Review and adjust basal rates.,medium,"""{\""profile.basal.00_00\"": 0.65}"""
real_llama4maverick_50,run_039,2,cr,Review CR settings.,low,"""{\""profile.cr.00_00\"": 12.5}"""
real_llama4maverick_50,run_040,1,profile,Review ISF setting,medium,"""{\""parameter_key\"": \""profile.isf.00_00\"", \""current_value\"": 56, \""suggested_value\"": 50}"""
real_llama4maverick_50,run_040,2,aaps,Adjust max basal,high,"""{\""parameter_key\"": \""aaps.core.safety_limits\"", \""current_value\"": \""max_basal_u_per_hour=12 U/h; max_iob_units=25 U\"", \""suggested_value\"": \""max_basal_u_per_hour=10 U/h; max_iob_units=25 U\""}"""
real_llama4maverick_50,run_041,1,Meal Strategy,Implement a meal bolus strategy,high,"""{\""suggestion\"": \""Record carb intake and consider a meal bolus strategy\""}"""
real_llama4maverick_50,run_041,2,AAPS Settings,Review max IOB setting,medium,"""{\""max_iob_units\"": 15}"""
real_llama4maverick_50,run_042,1,AAPS,Adjust max IOB,high,"""{\""max_iob_units\"": 15}"""
real_llama4maverick_50,run_043,1,basal,Adjust basal rates,medium,"""{\""rate\"": 0.65, \""duration\"": 0, \""timestamp\"": \""2026-08-07T00:00:00.000Z\"", \""event_type\"": \""Basal Rate\""}"""
real_llama4maverick_50,run_043,2,isf,Review ISF,low,"""{\""mg_dl_per_unit\"": 55, \""start_time\"": \""00:00\""}"""
real_llama4maverick_50,run_044,1,basal,Review basal rates,medium,"""{\""parameter_key\"": \""profile.basal.00_00\"", \""current_value\"": \""0.6\"", \""suggested_value\"": \""0.65\""}"""
real_llama4maverick_50,run_045,1,AAPS safety limits,Adjust max IOB limit,high,"""{\""max_iob_units\"": 15}"""
real_llama4maverick_50,run_045,2,Meal strategy,Start recording carb entries,medium,"""Start logging carb entries for meals."""
real_llama4maverick_50,run_046,1,profile,Review and adjust ISF settings.,medium,"""{\""parameter_key\"": \""profile.isf.00_00\"", \""current_value\"": 56, \""suggested_value\"": 50}"""
real_llama4maverick_50,run_046,2,aaps,Consider lowering max IOB limits.,high,"""{\""parameter_key\"": \""aaps.core.safety_limits\"", \""current_value\"": \""max_basal_u_per_hour=12 U/h; max_iob_units=25 U\"", \""suggested_value\"": \""max_iob_units=15 U\""}"""
real_llama4maverick_50,run_047,1,basal,Review basal rates for potential adjustments.,medium,"""{\""profile.basal.00_00\"": 0.65}"""
real_llama4maverick_50,run_048,1,basal,Adjust basal rates for better glucose control,medium,"""{\""profile.basal.00_00\"": 0.55, \""profile.basal.05_00\"": 0.65}"""
real_llama4maverick_50,run_048,2,cr,Review CR settings,low,"""{\""profile.cr.00_00\"": 12.5}"""
real_llama4maverick_50,run_049,1,basal,Adjust basal rates for better glucose control.,high,"""{\""profile.basal.16_00\"": \""0.6 U/h\""}"""
real_llama4maverick_50,run_049,2,aaps,Review max IOB setting.,medium,"""{\""aaps.core.safety_limits.max_iob_units\"": \""15 U\""}"""
real_llama4maverick_50,run_050,1,AAPS,Reduce max IOB,high,"""{\""max_iob_units\"": 15}"""
real_llama4maverick_50,run_050,2,Meal Strategy,Review meal strategy,medium,"""Record meal data including carb amounts and bolus timing."""
