experiment,run_id,parameter_key,category,in_inventory,current_value,decision,suggested_value,rationale
real_llama4maverick_50,run_004,aaps.core.smb_delivery,aaps,True,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,keep,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,"Current settings are appropriate, depends on automation_smb_uam."
real_llama4maverick_50,run_004,aaps.core.safety_limits,aaps,True,max_basal_u_per_hour=12 U/h; max_iob_units=25 U,keep,max_basal_u_per_hour=12 U/h; max_iob_units=25 U,"High limits are set, depends on automation_sensitivity_limits."
real_llama4maverick_50,run_004,aaps.core.sensitivity,aaps,True,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,keep,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,"Dynamic ISF is beneficial, depends on automation_sensitivity_limits."
real_llama4maverick_50,run_004,aaps.core.carb_absorption,aaps,True,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,keep,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,"Current settings are appropriate, depends on meal_ecarbs_absorption."
real_llama4maverick_50,run_005,profile.basal.00_00,profile,True,0.6 U/h,keep,0.6 U/h,Current basal rate is generally appropriate.
real_llama4maverick_50,run_005,profile.basal.05_00,profile,True,0.7 U/h,keep,0.7 U/h,Current basal rate is generally appropriate.
real_llama4maverick_50,run_005,profile.basal.06_00,profile,True,0.8 U/h,keep,0.8 U/h,Current basal rate is generally appropriate.
real_llama4maverick_50,run_005,profile.basal.10_00,profile,True,0.7 U/h,keep,0.7 U/h,Current basal rate is generally appropriate.
real_llama4maverick_50,run_005,profile.basal.16_00,profile,True,0.5 U/h,keep,0.5 U/h,Current basal rate is generally appropriate.
real_llama4maverick_50,run_005,profile.basal.18_00,profile,True,0.6 U/h,keep,0.6 U/h,Current basal rate is generally appropriate.
real_llama4maverick_50,run_005,profile.basal.19_00,profile,True,0.7 U/h,keep,0.7 U/h,Current basal rate is generally appropriate.
real_llama4maverick_50,run_005,profile.cr.00_00,profile,True,13 g/U,keep,13 g/U,Current CR is generally appropriate.
real_llama4maverick_50,run_005,profile.cr.04_00,profile,True,11.1 g/U,keep,11.1 g/U,Current CR is generally appropriate.
real_llama4maverick_50,run_005,profile.cr.08_00,profile,True,13.2 g/U,keep,13.2 g/U,Current CR is generally appropriate.
real_llama4maverick_50,run_005,profile.cr.16_00,profile,True,10.5 g/U,keep,10.5 g/U,Current CR is generally appropriate.
real_llama4maverick_50,run_005,profile.cr.20_00,profile,True,12.6 g/U,keep,12.6 g/U,Current CR is generally appropriate.
real_llama4maverick_50,run_005,profile.isf.00_00,profile,True,56 mg/dL/U,keep,56 mg/dL/U,Current ISF is generally appropriate.
real_llama4maverick_50,run_005,profile.target.00_00,profile,True,90 mg/dL,keep,90 mg/dL,Current target is generally appropriate.
real_llama4maverick_50,run_005,profile.target.08_00,profile,True,100 mg/dL,keep,100 mg/dL,Current target is generally appropriate.
real_llama4maverick_50,run_005,profile.target.23_00,profile,True,90 mg/dL,keep,90 mg/dL,Current target is generally appropriate.
real_llama4maverick_50,run_005,profile.dia,profile,True,10 h,keep,10 h,Current DIA is generally appropriate.
real_llama4maverick_50,run_005,aaps.core.smb_uam,aaps,True,smb_enabled=true; uam_enabled=true,keep,smb_enabled=true; uam_enabled=true,SMB and UAM are appropriately enabled.
real_llama4maverick_50,run_005,aaps.core.smb_activation,aaps,True,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,keep,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,SMB activation conditions are appropriately set.
real_llama4maverick_50,run_005,aaps.core.smb_delivery,aaps,True,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,keep,"{""smb_interval_minutes"": 3, ""max_smb_basal_minutes"": 15, ""max_uam_smb_basal_minutes"": 20}",SMB delivery settings are generally appropriate.
real_llama4maverick_50,run_005,aaps.core.safety_limits,aaps,True,max_basal_u_per_hour=12 U/h; max_iob_units=25 U,change,"{""max_basal_u_per_hour"": 12, ""max_iob_units"": 15}",Reducing max IOB to prevent excessive insulin dosing.
real_llama4maverick_50,run_005,aaps.core.sensitivity,aaps,True,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,keep,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,Dynamic ISF is appropriately enabled.
real_llama4maverick_50,run_005,aaps.core.carb_absorption,aaps,True,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,keep,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,Carb absorption model settings are generally appropriate.
real_llama4maverick_50,run_006,profile.basal.00_00,profile,True,0.6 U/h,change,0.65 U/h,To improve overnight glucose control.
real_llama4maverick_50,run_006,profile.basal.05_00,profile,True,0.7 U/h,keep,0.7 U/h,Current setting is appropriate.
real_llama4maverick_50,run_006,profile.basal.06_00,profile,True,0.8 U/h,keep,0.8 U/h,Current setting is appropriate.
real_llama4maverick_50,run_006,profile.basal.10_00,profile,True,0.7 U/h,keep,0.7 U/h,Current setting is appropriate.
real_llama4maverick_50,run_006,profile.basal.16_00,profile,True,0.5 U/h,keep,0.5 U/h,Current setting is appropriate.
real_llama4maverick_50,run_006,profile.basal.18_00,profile,True,0.6 U/h,keep,0.6 U/h,Current setting is appropriate.
real_llama4maverick_50,run_006,profile.basal.19_00,profile,True,0.7 U/h,keep,0.7 U/h,Current setting is appropriate.
real_llama4maverick_50,run_006,profile.cr.00_00,profile,True,13 g/U,keep,13 g/U,Current setting is appropriate.
real_llama4maverick_50,run_006,profile.cr.04_00,profile,True,11.1 g/U,keep,11.1 g/U,Current setting is appropriate.
real_llama4maverick_50,run_006,profile.cr.08_00,profile,True,13.2 g/U,keep,13.2 g/U,Current setting is appropriate.
real_llama4maverick_50,run_006,profile.cr.16_00,profile,True,10.5 g/U,keep,10.5 g/U,Current setting is appropriate.
real_llama4maverick_50,run_006,profile.cr.20_00,profile,True,12.6 g/U,keep,12.6 g/U,Current setting is appropriate.
real_llama4maverick_50,run_006,profile.isf.00_00,profile,True,56 mg/dL/U,keep,56 mg/dL/U,Current setting is appropriate.
real_llama4maverick_50,run_006,profile.target.00_00,profile,True,90 mg/dL,keep,90 mg/dL,Current setting is appropriate.
real_llama4maverick_50,run_006,profile.target.08_00,profile,True,100 mg/dL,keep,100 mg/dL,Current setting is appropriate.
real_llama4maverick_50,run_006,profile.target.23_00,profile,True,90 mg/dL,keep,90 mg/dL,Current setting is appropriate.
real_llama4maverick_50,run_006,profile.dia,profile,True,10 h,keep,10 h,Current setting is appropriate.
real_llama4maverick_50,run_006,aaps.core.smb_uam,aaps,True,smb_enabled=true; uam_enabled=true,keep,smb_enabled=true; uam_enabled=true,SMB and UAM are appropriately enabled.
real_llama4maverick_50,run_006,aaps.core.smb_activation,aaps,True,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,keep,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,Current SMB activation conditions are appropriate.
real_llama4maverick_50,run_006,aaps.core.smb_delivery,aaps,True,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,keep,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,Current SMB delivery settings are appropriate.
real_llama4maverick_50,run_006,aaps.core.safety_limits,aaps,True,max_basal_u_per_hour=12 U/h; max_iob_units=25 U,keep,max_basal_u_per_hour=12 U/h; max_iob_units=25 U,Current safety limits are appropriate.
real_llama4maverick_50,run_006,aaps.core.sensitivity,aaps,True,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,keep,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,Current sensitivity settings are appropriate.
real_llama4maverick_50,run_006,aaps.core.carb_absorption,aaps,True,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,keep,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,Current carb absorption settings are appropriate.
real_llama4maverick_50,run_006,,,False,,,,
real_llama4maverick_50,run_007,profile.basal.00_00,profile,True,0.6 U/h,change,0.55,Basal rate adjustment based on basal_targets analysis.
real_llama4maverick_50,run_007,profile.basal.05_00,profile,True,0.7 U/h,keep,0.7,No strong evidence for change.
real_llama4maverick_50,run_007,profile.basal.06_00,profile,True,0.8 U/h,keep,0.8,No strong evidence for change.
real_llama4maverick_50,run_007,profile.basal.10_00,profile,True,0.7 U/h,keep,0.7,No strong evidence for change.
real_llama4maverick_50,run_007,profile.basal.16_00,profile,True,0.5 U/h,keep,0.5,No strong evidence for change.
real_llama4maverick_50,run_007,profile.basal.18_00,profile,True,0.6 U/h,keep,0.6,No strong evidence for change.
real_llama4maverick_50,run_007,profile.basal.19_00,profile,True,0.7 U/h,keep,0.7,No strong evidence for change.
real_llama4maverick_50,run_007,profile.cr.00_00,profile,True,13 g/U,keep,13,No strong evidence for change.
real_llama4maverick_50,run_007,profile.cr.04_00,profile,True,11.1 g/U,keep,11.1,No strong evidence for change.
real_llama4maverick_50,run_007,profile.cr.08_00,profile,True,13.2 g/U,keep,13.2,No strong evidence for change.
real_llama4maverick_50,run_007,profile.cr.16_00,profile,True,10.5 g/U,keep,10.5,No strong evidence for change.
real_llama4maverick_50,run_007,profile.cr.20_00,profile,True,12.6 g/U,keep,12.6,No strong evidence for change.
real_llama4maverick_50,run_007,profile.isf.00_00,profile,True,56 mg/dL/U,keep,56,No strong evidence for change.
real_llama4maverick_50,run_007,profile.target.00_00,profile,True,90 mg/dL,keep,90,No strong evidence for change.
real_llama4maverick_50,run_007,profile.target.08_00,profile,True,100 mg/dL,keep,100,No strong evidence for change.
real_llama4maverick_50,run_007,profile.target.23_00,profile,True,90 mg/dL,keep,90,No strong evidence for change.
real_llama4maverick_50,run_007,profile.dia,profile,True,10 h,keep,10,No strong evidence for change.
real_llama4maverick_50,run_007,aaps.core.smb_uam,aaps,True,smb_enabled=true; uam_enabled=true,keep,smb_enabled=true; uam_enabled=true,SMB/UAM are effective but require monitoring.
real_llama4maverick_50,run_007,aaps.core.smb_activation,aaps,True,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,keep,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,No strong evidence for change.
real_llama4maverick_50,run_007,aaps.core.smb_delivery,aaps,True,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,keep,smb_interval_minutes=3; max_smb_basal_minutes=15; max_uam_smb_basal_minutes=20,No strong evidence for change.
real_llama4maverick_50,run_007,aaps.core.safety_limits,aaps,True,max_basal_u_per_hour=12 U/h; max_iob_units=25 U,change,max_iob_units=20,High max IOB poses a risk.
real_llama4maverick_50,run_007,aaps.core.sensitivity,aaps,True,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,keep,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70,No strong evidence for change.
real_llama4maverick_50,run_007,aaps.core.carb_absorption,aaps,True,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,keep,min_5m_carbimpact=8; meal_max_absorption_hours=7,No strong evidence for change.
real_llama4maverick_50,run_008,profile.basal.00_00,profile,True,0.6 U/h,change,0.65 U/h,"Evidence from glucose patterns, uncertainty due to meal and correction effects"
real_llama4maverick_50,run_008,profile.basal.05_00,profile,True,0.7 U/h,keep,0.7 U/h,No strong evidence to change
real_llama4maverick_50,run_008,profile.basal.06_00,profile,True,0.8 U/h,keep,0.8 U/h,No strong evidence to change
real_llama4maverick_50,run_008,profile.basal.10_00,profile,True,0.7 U/h,keep,0.7 U/h,No strong evidence to change
real_llama4maverick_50,run_008,profile.basal.16_00,profile,True,0.5 U/h,keep,0.5 U/h,No strong evidence to change
real_llama4maverick_50,run_008,profile.basal.18_00,profile,True,0.6 U/h,keep,0.6 U/h,No strong evidence to change
real_llama4maverick_50,run_008,profile.basal.19_00,profile,True,0.7 U/h,keep,0.7 U/h,No strong evidence to change
real_llama4maverick_50,run_008,profile.cr.00_00,profile,True,13 g/U,keep,13 g/U,No strong evidence to change
real_llama4maverick_50,run_008,profile.cr.04_00,profile,True,11.1 g/U,keep,11.1 g/U,No strong evidence to change
real_llama4maverick_50,run_008,profile.cr.08_00,profile,True,13.2 g/U,keep,13.2 g/U,No strong evidence to change
real_llama4maverick_50,run_008,profile.cr.16_00,profile,True,10.5 g/U,keep,10.5 g/U,No strong evidence to change
real_llama4maverick_50,run_008,profile.cr.20_00,profile,True,12.6 g/U,keep,12.6 g/U,No strong evidence to change
real_llama4maverick_50,run_008,profile.isf.00_00,profile,True,56 mg/dL/U,keep,56 mg/dL/U,No strong evidence to change
real_llama4maverick_50,run_008,profile.target.00_00,profile,True,90 mg/dL,keep,90 mg/dL,No strong evidence to change
real_llama4maverick_50,run_008,profile.target.08_00,profile,True,100 mg/dL,keep,100 mg/dL,No strong evidence to change
real_llama4maverick_50,run_008,profile.target.23_00,profile,True,90 mg/dL,keep,90 mg/dL,No strong evidence to change
real_llama4maverick_50,run_008,profile.dia,profile,True,10 h,keep,10 h,No strong evidence to change
real_llama4maverick_50,run_008,aaps.core.smb_uam,aaps,True,smb_enabled=true; uam_enabled=true,keep,smb_enabled=true; uam_enabled=true,No strong evidence to change
real_llama4maverick_50,run_008,aaps.core.smb_activation,aaps,True,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,keep,smb_always_enabled=true; smb_with_cob_enabled=false; smb_after_carbs_enabled=false; smb_with_temp_target_enabled=true; smb_with_high_temp_target_enabled=false,No strong evidence to change
real_llama4maverick_50,run_008,aaps.core.smb_delivery,aaps,True,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,keep,smb_interval_minutes=3 min; max_smb_basal_minutes=15 min; max_uam_smb_basal_minutes=20 min,No strong evidence to change
real_llama4maverick_50,run_008,aaps.core.safety_limits,aaps,True,max_basal_u_per_hour=12 U/h; max_iob_units=25 U,keep,max_basal_u_per_hour=12 U/h; max_iob_units=25 U,"No strong evidence to change, but high max IOB may pose risk"
real_llama4maverick_50,run_008,aaps.core.sensitivity,aaps,True,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,keep,autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %,No strong evidence to change
real_llama4maverick_50,run_008,aaps.core.carb_absorption,aaps,True,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,keep,min_5m_carbimpact=8 mg/dL/5 min; meal_max_absorption_hours=7 h,No strong evidence to change
