experiment,run_id,rank,area,title,priority,suggested_change
real_gemini36flash_50,run_007,2,target,Raise Overnight Target Buffer,medium,"{""target_00_00"": ""Increase target from 90 mg/dL to 100 mg/dL (00:00-06:00)""}"
real_gemini36flash_50,run_008,1,smb,Reduce AAPS Max Basal and Max IOB Safety Ceilings,safety,"{""max_basal_u_per_hour"": ""3.5 U/h"", ""max_iob_units"": ""7.0 U""}"
real_gemini36flash_50,run_008,2,target,Raise Overnight Target to 100 mg/dL,high,"{""start_time"": ""00:00"", ""target_mg_dl"": 100}"
real_gemini36flash_50,run_008,3,cr,Begin Logging Meal Carbohydrates and Pre-Bolusing,medium,"{""action"": ""log_carbs_and_prebolus"", ""prebolus_minutes"": 10}"
real_gemini36flash_50,run_009,1,target,Raise Overnight Target to Reduce Nocturnal Hypoglycemia,safety,"{""parameter_key"": ""profile.target.00_00"", ""from"": ""90 mg/dL"", ""to"": ""100 mg/dL""}"
real_gemini36flash_50,run_009,2,safety_limits,Tighten AAPS Max IOB and Max Basal Safety Limits,high,"{""parameter_key"": ""aaps.core.safety_limits"", ""from"": ""max_basal_u_per_hour=12 U/h; max_iob_units=25 U"", ""to"": ""max_basal_u_per_hour=3 U/h; max_iob_units=4 U""}"
real_gemini36flash_50,run_009,3,meal_strategy,Announce Carbohydrates and Use Pre-Bolusing,medium,"{""action"": ""Log carbs with 10-15 min pre-bolus and upfront bolus delivery.""}"
real_gemini36flash_50,run_010,1,smb,Reduce AAPS Max IOB Safety Limit,safety,"{""max_iob_units"": 8.0, ""max_basal_u_per_hour"": 3.5}"
real_gemini36flash_50,run_010,2,basal,Reduce Overnight Basal Segment (00:00-05:00),high,"{""start_time"": ""00:00"", ""units_per_hour"": 0.5}"
real_gemini36flash_50,run_010,3,target,Begin Carbohydrate Logging in AAPS,medium,"{""action"": ""Log meal carbohydrates and use preboluses""}"
real_gemini36flash_50,run_011,1,target,Raise Overnight Target to 100 mg/dL,safety,"{""parameter"": ""profile.target.23_00 and profile.target.00_00"", ""current_value"": ""90 mg/dL"", ""suggested_value"": ""100 mg/dL""}"
real_gemini36flash_50,run_011,2,safety_limits,Narrow Max IOB Cap in AAPS,safety,"{""parameter"": ""aaps.core.safety_limits.max_iob_units"", ""current_value"": ""25.0 U"", ""suggested_value"": ""8.0 U""}"
real_gemini36flash_50,run_011,3,safety_limits,Reduce Max Basal Rate Limit in AAPS,high,"{""parameter"": ""aaps.core.safety_limits.max_basal_u_per_hour"", ""current_value"": ""12.0 U/h"", ""suggested_value"": ""3.5 U/h""}"
real_gemini36flash_50,run_011,4,basal,Evaluate Overnight Basal Rate (00:00-05:00),medium,"{""parameter"": ""profile.basal.00_00"", ""current_value"": ""0.6 U/h"", ""suggested_value"": ""0.55 U/h""}"
real_gemini36flash_50,run_012,1,smb,Reduce AAPS Safety Limits (Max IOB and Max Basal),safety,"{""max_iob_units"": 7.0, ""max_basal_u_per_hour"": 3.5}"
real_gemini36flash_50,run_012,2,basal,Reduce Early Overnight Basal Rate,high,"{""start_time"": ""00:00"", ""units_per_hour"": 0.5}"
real_gemini36flash_50,run_012,3,target,Raise Overnight Target Glucose,medium,"{""start_time"": ""00:00"", ""target_mg_dl"": 100.0}"
real_gemini36flash_50,run_013,1,smb,Reduce Max IOB and Max Basal Safety Limits,safety,"{""max_iob_units"": 7.0, ""max_basal_u_per_hour"": 3.0}"
real_gemini36flash_50,run_013,2,target,Raise Overnight Target to 100 mg/dL,high,"{""target_23_00_to_08_00"": ""100 mg/dL""}"
real_gemini36flash_50,run_013,3,smb,Dampen Dynamic ISF Adjustment Factor,medium,"{""dynamic_isf_adjustment_factor_percent"": 50}"
real_gemini36flash_50,run_014,1,basal,Reduce Overnight Basal Rate,safety,"{""parameter"": ""profile.basal.00_00"", ""current_value"": ""0.6 U/h"", ""suggested_value"": ""0.5 U/h"", ""time_segment"": ""00:00 - 05:00""}"
real_gemini36flash_50,run_014,2,smb,Tighten AAPS Max IOB Safety Limit,safety,"{""parameter"": ""aaps.core.safety_limits"", ""current_value"": ""max_basal_u_per_hour=12 U/h; max_iob_units=25 U"", ""suggested_value"": ""max_basal_u_per_hour=4.0 U/h; max_iob_units=7.0 U""}"
real_gemini36flash_50,run_014,3,target,Raise Overnight Target Glucose,medium,"{""parameter"": ""profile.target.00_00"", ""current_value"": ""90 mg/dL"", ""suggested_value"": ""100 mg/dL"", ""time_segment"": ""00:00 - 08:00""}"
real_gemini36flash_50,run_015,1,smb,Reduce AAPS Max IOB and Max Basal Safety Limits,safety,"{""max_iob_units"": 7.0, ""max_basal_u_per_hour"": 3.0}"
real_gemini36flash_50,run_015,2,basal,Reduce Overnight Basal Rate (00:00 - 05:00),high,"{""start_time"": ""00:00"", ""units_per_hour"": 0.5}"
real_gemini36flash_50,run_015,3,target,Raise Overnight Target to 100 mg/dL,medium,"{""start_time"": ""00:00"", ""target_mg_dl"": 100.0}"
real_gemini36flash_50,run_016,1,safety_limits,Reduce Max IOB and Max Basal Safety Limits,safety,"{""max_iob_units"": 7.0, ""max_basal_u_per_hour"": 3.0}"
real_gemini36flash_50,run_016,2,target,Raise Overnight Target to 100 mg/dL,high,"{""target_segments"": [{""start_time"": ""00:00"", ""low_mg_dl"": 100.0, ""high_mg_dl"": 100.0}]}"
real_gemini36flash_50,run_016,3,sensitivity,Moderate Dynamic ISF Adjustment Factor,medium,"{""dynamic_isf_adjustment_factor_percent"": 50.0}"
real_gemini36flash_50,run_016,4,meal_strategy,Introduce Manual Meal Logging and Pre-Bolusing,medium,"{""mode"": ""manual_carb_entry"", ""prebolus_minutes"": 15}"
real_gemini36flash_50,run_017,1,target,Raise Overnight Target to 100 mg/dL,safety,"{""target_00_00"": ""100 mg/dL"", ""target_23_00"": ""100 mg/dL""}"
real_gemini36flash_50,run_017,2,safety_limits,Lower Max IOB and Max Basal Limits,safety,"{""max_iob_units"": ""6.0 U"", ""max_basal_u_per_hour"": ""3.5 U/h""}"
real_gemini36flash_50,run_017,3,sensitivity,Soften Dynamic ISF Adjustment Factor,high,"{""dynamic_isf_adjustment_factor_percent"": ""50%""}"
real_gemini36flash_50,run_018,1,safety_limits,Reduce Maximum IOB Safety Cap,safety,"{""parameter_key"": ""aaps.core.safety_limits"", ""max_iob_units"": ""8.0 U"", ""max_basal_u_per_hour"": ""4.0 U/h""}"
real_gemini36flash_50,run_018,2,target,Raise Overnight Target to 100 mg/dL,high,"{""parameter_key"": ""profile.target.00_00"", ""target_segments"": [{""start_time"": ""00:00"", ""low_mg_dl"": 100.0, ""high_mg_dl"": 100.0}, {""start_time"": ""08:00"", ""low_mg_dl"": 100.0, ""high_mg_dl"": 100.0}, {""start_time"": ""23:00"", ""low_mg_dl"": 100.0, ""high_mg_dl"": 100.0}]}"
real_gemini36flash_50,run_018,3,sensitivity,Moderate Dynamic ISF Adjustment Factor,medium,"{""parameter_key"": ""aaps.core.sensitivity"", ""dynamic_isf_adjustment_factor_percent"": ""50 %""}"
real_gemini36flash_50,run_019,1,basal,Reduce Overnight Basal Rate,safety,"{""parameter_key"": ""profile.basal.00_00"", ""current_value"": ""0.6 U/h"", ""suggested_value"": ""0.5 U/h""}"
real_gemini36flash_50,run_019,2,target,Raise Nocturnal Target Glucose,safety,"{""parameter_key"": ""profile.target.00_00"", ""current_value"": ""90 mg/dL"", ""suggested_value"": ""100 mg/dL""}"
real_gemini36flash_50,run_019,3,safety_limits,Lower Max Basal Safety Limit,high,"{""parameter_key"": ""aaps.core.safety_limits"", ""current_value"": ""max_basal_u_per_hour=12 U/h; max_iob_units=25 U"", ""suggested_value"": ""max_basal_u_per_hour=3.5 U/h; max_iob_units=15 U""}"
real_gemini36flash_50,run_019,4,sensitivity,Dampen Dynamic ISF Adjustment Factor,high,"{""parameter_key"": ""aaps.core.sensitivity"", ""current_value"": ""autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=70 %"", ""suggested_value"": ""autosens_enabled=false; dynamic_sensitivity_enabled=true; autosens_raises_target=false; autosens_lowers_target=false; dynamic_isf_adjustment_factor_percent=50 %""}"
real_gemini36flash_50,run_020,1,target,Raise Overnight Target to 100 mg/dL,safety,"{""target_00_00"": ""100 mg/dL"", ""target_23_00"": ""100 mg/dL""}"
real_gemini36flash_50,run_020,2,smb,Tighten AAPS Max IOB and Max Basal Safety Limits,high,"{""max_iob_units"": ""6.0 U"", ""max_basal_u_per_hour"": ""3.0 U/h""}"
real_gemini36flash_50,run_020,3,smb,Moderate Dynamic ISF Adjustment Factor,medium,"{""dynamic_isf_adjustment_factor_percent"": ""50 %""}"
real_gemini36flash_50,run_021,1,target,Raise Overnight Target to Reduce Nocturnal Hypoglycemia,safety,"{""parameter_key"": ""profile.target.23_00"", ""current_value"": ""90 mg/dL"", ""suggested_value"": ""100 mg/dL""}"
real_gemini36flash_50,run_021,2,smb,Tighten AAPS Max IOB and Max Basal Safety Limits,high,"{""parameter_key"": ""aaps.core.safety_limits"", ""current_value"": ""max_basal_u_per_hour=12 U/h; max_iob_units=25 U"", ""suggested_value"": ""max_basal_u_per_hour=3.2 U/h; max_iob_units=7.0 U""}"
real_gemini36flash_50,run_022,1,smb,Reduce Max IOB and Max Basal Safety Limits,safety,"{""max_iob_units"": 7.0, ""max_basal_u_per_hour"": 3.5}"
real_gemini36flash_50,run_022,2,target,Raise Overnight Target to 100 mg/dL,high,"{""target_00_00"": 100, ""target_23_00"": 100}"
real_gemini36flash_50,run_022,3,cr,Begin Pre-Meal Carbohydrate Logging,medium,"{""user_action"": ""Log carbohydrate amounts and meal timestamps in AAPS prior to eating.""}"
real_gemini36flash_50,run_023,1,smb,Reduce AAPS Max IOB and Max Basal Safety Ceilings,safety,"{""max_iob_units"": 5.0, ""max_basal_u_per_hour"": 3.0}"
real_gemini36flash_50,run_023,2,target,Raise Overnight Target to 100 mg/dL,high,"{""target_23_08"": ""100 mg/dL""}"
real_gemini36flash_50,run_023,3,cr,Initiate Meal Carb Logging and Prebolusing,medium,"{""meal_logging"": ""announced_carbs_with_prebolus""}"
real_gemini36flash_50,run_024,1,safety_limits,Lower Max IOB and Max Basal Ceilings in AAPS,safety,"{""max_iob_units"": 7.0, ""max_basal_u_per_hour"": 3.5}"
real_gemini36flash_50,run_024,2,target,Elevate Overnight Target Segment to 100 mg/dL,high,"{""target_00_00"": 100.0, ""target_23_00"": 100.0}"
real_gemini36flash_50,run_024,3,meal_strategy,Introduce Meal Carb Announcements with Preboluses,medium,"{""meal_announcements"": ""enabled"", ""prebolus_minutes"": 10}"
real_gemini36flash_50,run_025,1,safety_limits,Reduce AAPS Max IOB and Max Basal Safety Limits,safety,"{""max_iob_units"": 7.0, ""max_basal_u_per_hour"": 3.5}"
real_gemini36flash_50,run_025,2,sensitivity,Moderate Dynamic ISF Adjustment Factor,high,"{""dynamic_isf_adjustment_factor_percent"": 50}"
real_gemini36flash_50,run_025,3,target,Raise Overnight Target to 100 mg/dL,high,"{""target_00_00"": 100, ""target_23_00"": 100}"
real_gemini36flash_50,run_026,1,target,Raise Overnight Target to Reduce Nocturnal Lows,safety,"{""parameter"": ""profile.target.00_00"", ""current_value"": ""90 mg/dL"", ""proposed_value"": ""100 mg/dL""}"
real_gemini36flash_50,run_026,2,safety,Reduce Max IOB and Max Basal Safety Ceilings,high,"{""parameter"": ""aaps.core.safety_limits"", ""current_value"": ""max_basal_u_per_hour=12 U/h; max_iob_units=25 U"", ""proposed_value"": ""max_basal_u_per_hour=3.2 U/h; max_iob_units=8.0 U""}"
real_gemini36flash_50,run_026,3,smb,Moderate Max UAM SMB Basal Minutes,medium,"{""parameter"": ""aaps.core.smb_delivery"", ""current_value"": ""max_uam_smb_basal_minutes=20 min"", ""proposed_value"": ""max_uam_smb_basal_minutes=15 min""}"
real_gemini36flash_50,run_027,1,smb,Reduce AAPS Max IOB and Max Basal Safety Limits,safety,"{""max_iob_units"": 6.0, ""max_basal_u_per_hour"": 3.0}"
real_gemini36flash_50,run_027,2,cr,Transition from Unannounced Meals to Meal Carb Bolusing,high,"{""action"": ""log_carbs_and_prebolus"", ""prebolus_minutes"": 10}"
real_gemini36flash_50,run_027,3,target,Raise Overnight Glucose Target Buffer,medium,"{""target_00_00"": 100}"
real_gemini36flash_50,run_028,1,target,Raise Overnight Target to 100 mg/dL,safety,"{""parameter_key"": ""profile.target.00_00"", ""current_value"": ""90 mg/dL"", ""suggested_value"": ""100 mg/dL""}"
real_gemini36flash_50,run_028,2,smb,Reduce AAPS Safety Upper Bounds,safety,"{""parameter_key"": ""aaps.core.safety_limits"", ""current_value"": ""max_basal_u_per_hour=12 U/h; max_iob_units=25 U"", ""suggested_value"": ""max_basal_u_per_hour=3.0 U/h; max_iob_units=7.0 U""}"
real_gemini36flash_50,run_028,3,basal,Smooth Late Evening Basal Step-Up,medium,"{""parameter_key"": ""profile.basal.19_00"", ""current_value"": ""0.7 U/h"", ""suggested_value"": ""0.5 U/h""}"
real_gemini36flash_50,run_029,1,target,Raise Overnight Glucose Target,safety,"{""parameter_key"": ""profile.target.00_00"", ""current_value"": ""90 mg/dL"", ""suggested_value"": ""100 mg/dL""}"
real_gemini36flash_50,run_029,2,smb,Tighten AAPS Safety Limits,high,"{""parameter_key"": ""aaps.core.safety_limits"", ""current_value"": ""max_basal_u_per_hour=12 U/h; max_iob_units=25 U"", ""suggested_value"": ""max_basal_u_per_hour=4 U/h; max_iob_units=10 U""}"
real_gemini36flash_50,run_030,1,safety,Tighten AAPS Max Basal and Max IOB Safety Limits,safety,"{""parameter_key"": ""aaps.core.safety_limits"", ""value"": ""max_basal_u_per_hour=4 U/h; max_iob_units=8 U""}"
real_gemini36flash_50,run_030,2,basal,Reduce Midnight Basal Rate,high,"{""parameter_key"": ""profile.basal.00_00"", ""value"": ""0.5 U/h""}"
real_gemini36flash_50,run_030,3,meal,Announce Carbohydrates and Prebolus Meals,medium,"{""parameter_key"": ""aaps.core.smb_uam"", ""value"": ""Log carbs upfront; use UAM only as a backup""}"
real_gemini36flash_50,run_031,1,smb,Reduce Maximum IOB and Maximum Basal Safety Limits,safety,"{""max_iob_units"": 7.0, ""max_basal_u_per_hour"": 3.0}"
real_gemini36flash_50,run_031,2,target,Raise Overnight Target to 100 mg/dL,high,"{""target_segments"": [{""start_time"": ""00:00"", ""low_mg_dl"": 100.0, ""high_mg_dl"": 100.0}, {""start_time"": ""08:00"", ""low_mg_dl"": 100.0, ""high_mg_dl"": 100.0}, {""start_time"": ""23:00"", ""low_mg_dl"": 100.0, ""high_mg_dl"": 100.0}]}"
real_gemini36flash_50,run_031,3,cr,Begin Explicit Carbohydrate Dosing with e-Carb Modeling,medium,"{""meal_logging_enabled"": true, ""default_ecarb_duration_hours"": 2.5}"
real_gemini36flash_50,run_032,1,target,Raise Overnight Target Setting,safety,"{""parameter_key"": ""profile.target.23_00"", ""current_value"": ""90 mg/dL"", ""suggested_value"": ""100 mg/dL""}"
real_gemini36flash_50,run_032,2,aaps,Tighten Max IOB and Max Basal Safety Ceilings,high,"{""parameter_key"": ""aaps.core.safety_limits"", ""current_value"": ""max_basal_u_per_hour=12 U/h; max_iob_units=25 U"", ""suggested_value"": ""max_basal_u_per_hour=3.0 U/h; max_iob_units=7.0 U""}"
real_gemini36flash_50,run_033,1,smb,Tighten AAPS Max IOB and Max Basal Safety Limits,safety,"{""max_iob_units"": 7.0, ""max_basal_u_per_hour"": 3.2}"
real_gemini36flash_50,run_033,2,target,Raise Overnight Target to Reduce Nocturnal Hypoglycemia,high,"{""target_23_00_mg_dl"": 100.0, ""target_00_00_mg_dl"": 100.0}"
real_gemini36flash_50,run_033,3,cr,Introduce Meal Carbohydrate or e-Carb Logging,medium,"{""meal_logging_practice"": ""Log meal carbs or use e-carbs with 3-4 hour absorption window""}"
real_gemini36flash_50,run_034,1,smb,Reduce Max IOB and Max Basal Safety Limits,safety,"{""max_iob_units"": 6.0, ""max_basal_u_per_hour"": 3.0}"
real_gemini36flash_50,run_034,2,target,Raise Nocturnal Target to 100 mg/dL,high,"{""target_00_00"": 100.0, ""target_23_00"": 100.0}"
real_gemini36flash_50,run_034,3,smb,Moderate Dynamic ISF Adjustment Factor,medium,"{""dynamic_isf_adjustment_factor_percent"": 50.0}"
real_gemini36flash_50,run_035,1,smb,Reduce Max IOB Safety Limit,safety,"{""max_iob_units"": 10.0}"
real_gemini36flash_50,run_035,2,cr,Announce Meals with Upfront Boluses and Prebolusing,high,"{""meal_announcement"": ""upfront_carbs_with_prebolus""}"
real_gemini36flash_50,run_036,1,target,Raise Overnight Target to Reduce Hypoglycemia,safety,"{""target_23_00"": ""100 mg/dL"", ""target_00_00"": ""100 mg/dL""}"
real_gemini36flash_50,run_036,2,basal,Reduce Overnight and Evening Basal Rates,safety,"{""basal_00_00"": ""0.5 U/h"", ""basal_18_00"": ""0.5 U/h"", ""basal_19_00"": ""0.5 U/h""}"
real_gemini36flash_50,run_036,3,smb,Tighten Maximum IOB Safety Guardrail,high,"{""max_iob_units"": ""7.0 U"", ""max_basal_u_per_hour"": ""4.0 U/h""}"
real_gemini36flash_50,run_037,1,basal,Reduce Midnight Basal Rate (00:00–05:00),high,"{""parameter"": ""profile.basal.00_00"", ""from"": ""0.6 U/h"", ""to"": ""0.5 U/h""}"
real_gemini36flash_50,run_037,2,safety_limits,Tighten AAPS Max IOB and Max Basal Limits,safety,"{""max_iob_units"": ""7.0 U"", ""max_basal_u_per_hour"": ""3.0 U/h""}"
real_gemini36flash_50,run_037,3,meal_strategy,Transition from Unannounced Meals to Active Carb Logging with E-Carbs,medium,"{""prebolus_minutes"": 15, ""immediate_bolus_percent"": 50, ""extended_carb_hours"": 4}"
real_gemini36flash_50,run_038,1,aaps,Tighten AAPS Safety Limits (Max IOB & Max Basal),safety,"{""max_iob_units"": 7.0, ""max_basal_u_per_hour"": 4.0}"
real_gemini36flash_50,run_038,2,target,Raise Overnight Target to 100 mg/dL,high,"{""target_00_00"": 100.0, ""target_23_00"": 100.0}"
real_gemini36flash_50,run_038,3,aaps,Moderate Dynamic ISF Adjustment Factor,medium,"{""dynamic_isf_adjustment_factor_percent"": 50.0}"
real_gemini36flash_50,run_039,1,smb,Tighten AAPS Max IOB and Max Basal Safety Limits,safety,"{""max_iob_units"": 6.0, ""max_basal_u_per_hour"": 3.2}"
real_gemini36flash_50,run_039,2,basal,Reduce Nocturnal Basal Rate (00:00-05:00),high,"{""basal_00_00"": ""0.5 U/h""}"
real_gemini36flash_50,run_039,3,cr,Announce Meal Carbohydrates to Prevent UAM Stacking,medium,"{""meal_announcement"": ""Announce meals with 10-15 min pre-bolus""}"
real_gemini36flash_50,run_040,1,target,Raise Overnight Target Segment to 100 mg/dL,safety,"{""parameter_key"": ""profile.target.23_00"", ""current_value"": ""90 mg/dL"", ""proposed_value"": ""100 mg/dL""}"
real_gemini36flash_50,run_040,2,safety_limits,Tighten Max IOB and Max Basal Safety Limits,high,"{""parameter_key"": ""aaps.core.safety_limits"", ""current_value"": ""max_basal_u_per_hour=12 U/h; max_iob_units=25 U"", ""proposed_value"": ""max_basal_u_per_hour=3 U/h; max_iob_units=7 U""}"
real_gemini36flash_50,run_040,3,meal_strategy,Log Carbohydrates and Implement 10–15 Minute Prebolusing,medium,"{""action"": ""User behavior change: Enter meal carbs and apply 10-15 minute prebolus timing.""}"
real_gemini36flash_50,run_041,1,smb,Tighten AAPS Max IOB and Max Basal Safety Limits,safety,"{""max_basal_u_per_hour"": 3.0, ""max_iob_units"": 7.0}"
real_gemini36flash_50,run_041,2,target,Raise Overnight Target Segment to 100 mg/dL,high,"{""target_segments"": [{""high_mg_dl"": 100.0, ""low_mg_dl"": 100.0, ""start_time"": ""00:00""}, {""high_mg_dl"": 100.0, ""low_mg_dl"": 100.0, ""start_time"": ""08:00""}, {""high_mg_dl"": 100.0, ""low_mg_dl"": 100.0, ""start_time"": ""23:00""}]}"
real_gemini36flash_50,run_041,3,cr,Log Meal Carbs for 3-5 Days to Calibrate Meal Strategy,medium,null
real_gemini36flash_50,run_042,1,target,Raise Overnight Target to 100 mg/dL,safety,"{""parameter_key"": ""profile.target.00_00"", ""current_value"": ""90 mg/dL"", ""suggested_value"": ""100 mg/dL""}"
real_gemini36flash_50,run_042,2,smb,Tighten AAPS Max IOB and Max Basal Safety Limits,safety,"{""parameter_key"": ""aaps.core.safety_limits"", ""current_value"": ""max_basal_u_per_hour=12 U/h; max_iob_units=25 U"", ""suggested_value"": ""max_basal_u_per_hour=3 U/h; max_iob_units=5 U""}"
real_gemini36flash_50,run_042,3,cr,Begin Meal Carbohydrate Logging with Pre-Bolusing,medium,"{""action"": ""User workflow change"", ""details"": ""Log meal carbohydrates in Nightscout / AAPS and deliver a meal bolus 15 minutes prior to eating.""}"
real_gemini36flash_50,run_043,1,smb,Tighten AAPS Max IOB and Max Basal Safety Limits,safety,"{""max_iob_units"": ""7.0 U"", ""max_basal_u_per_hour"": ""3.5 U/h""}"
real_gemini36flash_50,run_043,2,target,Raise Overnight Glucose Target Segment,high,"{""target_23_00"": ""100 mg/dL"", ""target_00_00"": ""100 mg/dL""}"
real_gemini36flash_50,run_043,3,cr,Transition to Active Meal Carbohydrate Logging,medium,"{""action"": ""Log carbohydrates and bolus before meals""}"
real_gemini36flash_50,run_044,1,smb,Reduce AAPS Max IOB and Max Basal Safety Limits,safety,"{""max_iob_units"": 6.0, ""max_basal_u_per_hour"": 3.5}"
real_gemini36flash_50,run_044,2,target,Raise Overnight Target to Reduce Nocturnal Hypoglycemia,high,"{""start_time"": ""23:00"", ""target_mg_dl"": 100}"
real_gemini36flash_50,run_044,3,cr,Log Meal Carbohydrates to Eliminate UAM Lag and Evening Hypos,medium,"""Begin logging carbs and bolusing 10-15 minutes prior to meals."""
real_gemini36flash_50,run_045,1,target,Raise Overnight Target to Reduce Night-time Hypoglycemia,safety,"{""target_segments"": [{""start_time"": ""00:00"", ""low_mg_dl"": 100, ""high_mg_dl"": 100}, {""start_time"": ""08:00"", ""low_mg_dl"": 100, ""high_mg_dl"": 100}]}"
real_gemini36flash_50,run_045,2,safety_limits,Reduce Max IOB and Max Basal to Safe Proportionate Boundaries,safety,"{""max_iob_units"": 10.0, ""max_basal_u_per_hour"": 3.5}"
real_gemini36flash_50,run_045,3,meal_strategy,Announce Carbohydrates and Pre-bolus for Meals,high,"{""action"": ""Log carbohydrates in AAPS prior to meals and bolus 10-15 minutes before eating.""}"
real_gemini36flash_50,run_046,1,aaps,Reduce Max IOB and Max Basal safety limits to match Total Daily Dose,safety,"{""max_iob_units"": 7.0, ""max_basal_u_per_hour"": 3.0}"
real_gemini36flash_50,run_046,2,smb,Lower Dynamic ISF adjustment factor during high glucose spikes,medium,"{""dynamic_isf_adjustment_factor_percent"": 50}"
real_gemini36flash_50,run_047,1,target,Raise Overnight Glucose Target,safety,"{""parameter_key"": ""profile.target.23_00"", ""current_value"": ""90 mg/dL"", ""suggested_value"": ""100 mg/dL""}"
real_gemini36flash_50,run_047,2,basal,Reduce Midnight Basal Rate,high,"{""parameter_key"": ""profile.basal.00_00"", ""current_value"": ""0.6 U/h"", ""suggested_value"": ""0.5 U/h""}"
real_gemini36flash_50,run_047,3,aaps,Tighten AAPS Safety Guardrails,high,"{""parameter_key"": ""aaps.core.safety_limits"", ""current_value"": ""max_basal_u_per_hour=12 U/h; max_iob_units=25 U"", ""suggested_value"": ""max_basal_u_per_hour=3.5 U/h; max_iob_units=7.0 U""}"
real_gemini36flash_50,run_048,1,aaps,Restrict Max Basal and Max IOB Safety Guardrails,safety,"{""max_basal_u_per_hour"": 3.0, ""max_iob_units"": 7.0}"
real_gemini36flash_50,run_048,2,basal,Reduce Midnight Basal Rate (00:00 Segment),high,"{""start_time"": ""00:00"", ""units_per_hour"": 0.5}"
real_gemini36flash_50,run_048,3,meal,Announce Meals and Implement Prebolus Strategy,medium,"{""immediate_bolus_percent"": 60, ""prebolus_minutes"": 10}"
real_gemini36flash_50,run_049,1,safety_limits,Reduce AAPS Max IOB and Max Basal Safety Limits,safety,"{""max_iob_units"": ""7.0 U"", ""max_basal_u_per_hour"": ""3.5 U/h""}"
real_gemini36flash_50,run_049,2,target,Raise Overnight Profile Target to 100 mg/dL,high,"{""target_00_00"": ""100 mg/dL"", ""target_23_00"": ""100 mg/dL""}"
